pmid,title,year,journal,stratum_id,age_group,sex,clinical_cohort,setting,treatment_category,treatment_names,outcome_direction,risk_factors,symptoms
32184606,Number of Electroconvulsive Therapy Sessions required for Thai Psychiatric Patients: a Retrospective Study.,2020.0,Neuropsychiatric disease and treatment,older_adults|comorbid_mental|inpatient,older_adults,unspecified,comorbid_mental,inpatient,psychotherapy,,benefit,/Triggers/Risk Factors:** The study does not directly discuss causes or risk factors for depression; anxiety; or other psychiatric conditions; instead; it focuses on predictors for the number of electroconvulsive therapy (ECT) sessions required for symptom remission across different diagnoses and age groups.,remission across different diagnoses and age groups.
32184606,Number of Electroconvulsive Therapy Sessions required for Thai Psychiatric Patients: a Retrospective Study.,2020.0,Neuropsychiatric disease and treatment,male|comorbid_mental|inpatient,unspecified,male,comorbid_mental,inpatient,psychotherapy,,benefit,/Triggers/Risk Factors:** The study does not directly discuss causes or risk factors for depression; anxiety; or other psychiatric conditions; instead; it focuses on predictors for the number of electroconvulsive therapy (ECT) sessions required for symptom remission across different diagnoses and age groups.,remission across different diagnoses and age groups.
32184606,Number of Electroconvulsive Therapy Sessions required for Thai Psychiatric Patients: a Retrospective Study.,2020.0,Neuropsychiatric disease and treatment,comorbid_mental|inpatient,unspecified,unspecified,comorbid_mental,inpatient,psychotherapy,,benefit,/Triggers/Risk Factors:** The study does not directly discuss causes or risk factors for depression; anxiety; or other psychiatric conditions; instead; it focuses on predictors for the number of electroconvulsive therapy (ECT) sessions required for symptom remission across different diagnoses and age groups.,remission across different diagnoses and age groups.
33209030,MiRNA-532-5p Regulates CUMS-Induced Depression-Like Behaviors and Modulates LPS-Induced Proinflammatory Cytokine Signaling by Targeting STAT3.,2020.0,Neuropsychiatric disease and treatment,male,unspecified,male,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Chronic unpredictable mild stress (CUMS) is identified as a trigger for depression-like behaviors in mice. Molecularly; reduced expression of miR-532-5p and increased inflammation markers (IL-6; IL-1β; TNF-α; MCP-1) and nitric oxide synthase (NOS) are associated with depression-like behaviors.,were measured through various tests (e.g.; FST; SPT; TST; SIT). Molecular outcomes include reductions in cytokine levels (IL-6; IL-1β; TNF-α; MCP-1); NOS activity; and STAT3 signaling. Thus; both behavioral improvements and molecular shifts are considered measurable effects of miR-532-5p overexpression.
32298167,Financial Toll of Untreated Perinatal Mood and Anxiety Disorders Among 2017 Births in the United States.,2020.0,American journal of public health,children,children,unspecified,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: The study focuses on untreated perinatal mood and anxiety disorders (PMADs) as the primary factor causing economic and health-related burdens for mothers and their children.,
32298167,Financial Toll of Untreated Perinatal Mood and Anxiety Disorders Among 2017 Births in the United States.,2020.0,American journal of public health,perinatal,perinatal,unspecified,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: The study focuses on untreated perinatal mood and anxiety disorders (PMADs) as the primary factor causing economic and health-related burdens for mothers and their children.,
32268978,iTBS to Relieve Depression and Executive Dysfunction in Older Adults: An Open Label Study.,2020.0,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,adults,adults,unspecified,unspecified,unspecified,other,,benefit,Triggers; or Risk Factors:**,
32268978,iTBS to Relieve Depression and Executive Dysfunction in Older Adults: An Open Label Study.,2020.0,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,older_adults,older_adults,unspecified,unspecified,unspecified,other,,benefit,Triggers; or Risk Factors:**,
32176572,<i>Coriandrum sativum</i> Extract Prevents Alarm Substance-Induced Fear- and Anxiety-Like Responses in Adult Zebrafish.,2020.0,Zebrafish,adults,adults,unspecified,unspecified,unspecified,pharmacological,act,unspecified,/Triggers/Risk Factors**:,
32176572,<i>Coriandrum sativum</i> Extract Prevents Alarm Substance-Induced Fear- and Anxiety-Like Responses in Adult Zebrafish.,2020.0,Zebrafish,adults,adults,unspecified,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**:,
32298279,Anxiety: An overlooked confounder in the characterisation of chronic stress-related conditions?,2020.0,PloS one,adolescents,adolescents,unspecified,unspecified,unspecified,other,,unspecified,triggers; or risk factors**: Anxiety proneness (AP) as distinct from trauma exposure is associated with physiological changes; including lower circulating levels of DHEAs (a hormone linked to the HPA axis) and higher leukocyte glucocorticoid receptor (GR) expression. The findings suggest anxiety may uniquely influence health profiles; independent of trauma.,
35186257,Sevoflurane augmentation in treatment-resistant depression: a clinical case study.,2020.0,Therapeutic advances in psychopharmacology,male,unspecified,male,unspecified,unspecified,psychotherapy,act,harm,/Triggers/Risk Factors**: The abstract does not explicitly state causes or triggers for depression but focuses on treatment-resistant depression (TRD); which is a subset characterized by lack of response to conventional treatments.,
33011857,"Methylglyoxal-Mediated Dopamine Depletion, Working Memory Deficit, and Depression-Like Behavior Are Prevented by a Dopamine/Noradrenaline Reuptake Inhibitor.",2020.0,Molecular neurobiology,male,unspecified,male,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
32787890,Persistence and remission of depressive symptoms and psycho-social correlates in Chinese early adolescents.,2020.0,BMC psychiatry,school,unspecified,unspecified,unspecified,school,other,,unspecified,/Triggers/Risk Factors:** Persistent depressive symptoms in Chinese high school students were significantly associated with having siblings; non-intact family status; poor family functioning; and lower levels of positive youth development. Conversely; remission from depressive symptoms was more likely among students whose fathers had higher educational qualifications (bachelor's degree or higher).,in Chinese high school students were significantly associated with having siblings; non-intact family status; poor family functioning; and lower levels of positive youth development. Conversely; remission from depressive symptoms was more likely among students whose fathers had higher educational qualifications (bachelor's degree or higher).
33987517,The role of anxiety and related states in pediatric postsurgical pain.,2020.0,Canadian journal of pain = Revue canadienne de la douleur,adolescents|chronic_pain,adolescents,unspecified,chronic_pain,unspecified,other,,benefit,/Triggers/Risk Factors**:,
33987517,The role of anxiety and related states in pediatric postsurgical pain.,2020.0,Canadian journal of pain = Revue canadienne de la douleur,children|chronic_pain,children,unspecified,chronic_pain,unspecified,other,,benefit,/Triggers/Risk Factors**:,
33128108,Mental Health Problems of HIV Healthcare Providers During the COVID-19 Pandemic: The Interactive Effects of Stressors and Coping.,2020.0,AIDS and behavior,general,unspecified,unspecified,unspecified,unspecified,other,,harm,/Triggers/Risk Factors**: COVID-19-related stressors are identified as contributors to depression and anxiety among HIV healthcare providers. The relationship is moderated by coping behaviors.,
32790975,[Oxidative stress and post-stroke depression].,2020.0,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,general,unspecified,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors:**,and oxidative stress parameters.
32011849,Low-Dose Ketamine Improves LPS-Induced Depression-like Behavior in Rats by Activating Cholinergic Anti-inflammatory Pathways.,2020.0,ACS chemical neuroscience,general,unspecified,unspecified,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**: Neuroinflammation plays a key role in depression; as shown in a model using lipopolysaccharide (LPS) to induce depression-like symptoms in rats and PC12 nerve cells.,in rats and PC12 nerve cells.
32539491,Safety and tolerability of IV ketamine in adults with major depressive or bipolar disorder: results from the Canadian rapid treatment center of excellence.,2020.0,Expert opinion on drug safety,male|primary_care,unspecified,male,unspecified,primary_care,other,,unspecified,Triggers; or Risk Factors**: The study does not specify direct causes; triggers; or risk factors for depression but focuses on treatment-resistant depression (TRD) and its management with intravenous (IV) ketamine.,severity using the Clinician-Administered Dissociative States Scale. Less than 5% of patients withdrew due to tolerability concerns.
32539491,Safety and tolerability of IV ketamine in adults with major depressive or bipolar disorder: results from the Canadian rapid treatment center of excellence.,2020.0,Expert opinion on drug safety,male|outpatient,unspecified,male,unspecified,outpatient,other,,unspecified,Triggers; or Risk Factors**: The study does not specify direct causes; triggers; or risk factors for depression but focuses on treatment-resistant depression (TRD) and its management with intravenous (IV) ketamine.,severity using the Clinician-Administered Dissociative States Scale. Less than 5% of patients withdrew due to tolerability concerns.
32539491,Safety and tolerability of IV ketamine in adults with major depressive or bipolar disorder: results from the Canadian rapid treatment center of excellence.,2020.0,Expert opinion on drug safety,male|community,unspecified,male,unspecified,community,other,,unspecified,Triggers; or Risk Factors**: The study does not specify direct causes; triggers; or risk factors for depression but focuses on treatment-resistant depression (TRD) and its management with intravenous (IV) ketamine.,severity using the Clinician-Administered Dissociative States Scale. Less than 5% of patients withdrew due to tolerability concerns.
32539491,Safety and tolerability of IV ketamine in adults with major depressive or bipolar disorder: results from the Canadian rapid treatment center of excellence.,2020.0,Expert opinion on drug safety,primary_care,unspecified,unspecified,unspecified,primary_care,other,,unspecified,Triggers; or Risk Factors**: The study does not specify direct causes; triggers; or risk factors for depression but focuses on treatment-resistant depression (TRD) and its management with intravenous (IV) ketamine.,severity using the Clinician-Administered Dissociative States Scale. Less than 5% of patients withdrew due to tolerability concerns.
32539491,Safety and tolerability of IV ketamine in adults with major depressive or bipolar disorder: results from the Canadian rapid treatment center of excellence.,2020.0,Expert opinion on drug safety,outpatient,unspecified,unspecified,unspecified,outpatient,other,,unspecified,Triggers; or Risk Factors**: The study does not specify direct causes; triggers; or risk factors for depression but focuses on treatment-resistant depression (TRD) and its management with intravenous (IV) ketamine.,severity using the Clinician-Administered Dissociative States Scale. Less than 5% of patients withdrew due to tolerability concerns.
32539491,Safety and tolerability of IV ketamine in adults with major depressive or bipolar disorder: results from the Canadian rapid treatment center of excellence.,2020.0,Expert opinion on drug safety,community,unspecified,unspecified,unspecified,community,other,,unspecified,Triggers; or Risk Factors**: The study does not specify direct causes; triggers; or risk factors for depression but focuses on treatment-resistant depression (TRD) and its management with intravenous (IV) ketamine.,severity using the Clinician-Administered Dissociative States Scale. Less than 5% of patients withdrew due to tolerability concerns.
30552507,Caudothalamic dysfunction in drug-free suicidally depressed patients: an MEG study.,2020.0,European archives of psychiatry and clinical neuroscience,adults,adults,unspecified,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors:**,
30552507,Caudothalamic dysfunction in drug-free suicidally depressed patients: an MEG study.,2020.0,European archives of psychiatry and clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors:**,
32584897,Threat of COVID-19 and emotional state during quarantine: Positive and negative affect as mediators in a cross-sectional study of the Spanish population.,2020.0,PloS one,adults|female,adults,female,unspecified,unspecified,other,,harm,/Triggers/Risk Factors:**,
32584897,Threat of COVID-19 and emotional state during quarantine: Positive and negative affect as mediators in a cross-sectional study of the Spanish population.,2020.0,PloS one,adults|male,adults,male,unspecified,unspecified,other,,harm,/Triggers/Risk Factors:**,
32290813,Comparison of screening accuracy of the Patient Health Questionnaire-2 using two case-identification methods during pregnancy and postpartum.,2020.0,BMC pregnancy and childbirth,children|female,children,female,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,
32290813,Comparison of screening accuracy of the Patient Health Questionnaire-2 using two case-identification methods during pregnancy and postpartum.,2020.0,BMC pregnancy and childbirth,children|male,children,male,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,
32290813,Comparison of screening accuracy of the Patient Health Questionnaire-2 using two case-identification methods during pregnancy and postpartum.,2020.0,BMC pregnancy and childbirth,perinatal|female,perinatal,female,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,
32290813,Comparison of screening accuracy of the Patient Health Questionnaire-2 using two case-identification methods during pregnancy and postpartum.,2020.0,BMC pregnancy and childbirth,perinatal|male,perinatal,male,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,pharmacological,cognitive behavioral therapy; exercise; CBT,benefit,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,pharmacological,cognitive behavioral therapy; exercise; CBT,mixed,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,psychotherapy,cognitive behavioral therapy; exercise; CBT,benefit,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,psychotherapy,cognitive behavioral therapy; exercise; CBT,mixed,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,behavioral,cognitive behavioral therapy; exercise; CBT,benefit,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,behavioral,cognitive behavioral therapy; exercise; CBT,mixed,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,digital,cognitive behavioral therapy; exercise; CBT,benefit,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
32802590,Depression in Heart Failure: A Systematic Review.,2020.0,Innovations in clinical neuroscience,general,unspecified,unspecified,unspecified,unspecified,digital,cognitive behavioral therapy; exercise; CBT,mixed,/Triggers/Risk Factors:** The paper focuses on depression in individuals with heart failure (HF) and does not specifically isolate other risk factors for depression beyond the HF diagnosis itself.,
33086078,Mobility performance predicts incident depression: A systematic review and meta-analysis.,2020.0,Experimental gerontology,general,unspecified,unspecified,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors:** Impaired mobility; particularly slow gait speed; is a predictive factor for the onset of depressive symptoms.,
33015831,Treatment of psychogenic nonepileptic seizures (PNES) using video telehealth.,2020.0,Epilepsia,general,unspecified,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,of depression and anxiety.
32905958,"Trends in anxiety among adults in the United States, 2008-2018: Rapid increases among young adults.",2020.0,Journal of psychiatric research,adults,adults,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
32560531,Analysis of the Impact of Type 2 Diabetes on the Psychosocial Functioning and Quality of Life of Perimenopausal Women.,2020.0,International journal of environmental research and public health,female|diabetes,unspecified,female,diabetes,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
32560531,Analysis of the Impact of Type 2 Diabetes on the Psychosocial Functioning and Quality of Life of Perimenopausal Women.,2020.0,International journal of environmental research and public health,male|diabetes,unspecified,male,diabetes,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
32714472,The Effect of Propofol on a Forced Swim Test in Mice at 24 Hours.,2020.0,"Current therapeutic research, clinical and experimental",adults|male,adults,male,unspecified,unspecified,psychotherapy,act,unspecified,triggers; or risk factors for depression/anxiety:** Not directly addressed—this study focuses on evaluating a potential treatment rather than identifying specific causes or risk factors.,. Propofol-treated mice showed no statistically significant difference in immobility time compared to saline-treated controls after 24 hours.
32657166,A metabolomic study on the anti-depressive effects of two active components from <i>Chrysanthemum morifolium</i>.,2020.0,"Artificial cells, nanomedicine, and biotechnology",outpatient,unspecified,unspecified,unspecified,outpatient,psychotherapy,act,unspecified,/Triggers/Risk Factors:** Depression-like behavior was induced in the study model using corticosterone; simulating the biochemical changes linked to depression.,. Nar is highlighted as having potential as a substitute for Chr; while Api's anti-depressant effects are compared to those of a positive control drug (likely a known antidepressant).
32815779,Social anxiety in adults with autism: a qualitative study.,2020.0,International journal of qualitative studies on health and well-being,older_adults|male|autism,older_adults,male,autism,unspecified,psychotherapy,act,benefit,"/Triggers/Risk Factors**: The study investigates why individuals with autism perceive they develop social anxiety (SA) and identifies ""causal influences for SA"" and ""anxiety-provoking social situations"" as relevant themes. However; specific detailed causes or triggers are not mentioned in the abstract.","and coping strategies are major focuses. Specific outcomes or effects measured include ""chronicity; "" ""impact; "" and the effectiveness of coping strategies."
32276239,"Outcomes, skill acquisition, and the alliance: Similarities and differences between clinical trial and student therapists.",2020.0,Behaviour research and therapy,outpatient,unspecified,unspecified,unspecified,outpatient,psychotherapy,,unspecified,triggers; or risk factors**: The abstract does not explicitly discuss causes; triggers; or risk factors for depression. It focuses on outcomes from cognitive therapy and therapist-related differences.,Student therapists achieved outcomes comparable to clinical trial therapists for client-reported depressive symptom change but fell short when measured with interviewer-evaluated depression scores.
32045409,"A multicomponent secondary school health promotion intervention and adolescent health: An extension of the SEHER cluster randomised controlled trial in Bihar, India.",2020.0,PLoS medicine,adolescents|male|school,adolescents,male,unspecified,school,other,,unspecified,/Triggers/Risk Factors for Depression:** The abstract suggests that poor school climate; bullying; violence victimization; and violence perpetration are linked to depression and other health outcomes among adolescents. These factors may exacerbate mental health issues and negatively impact overall adolescent well-being.,
32045409,"A multicomponent secondary school health promotion intervention and adolescent health: An extension of the SEHER cluster randomised controlled trial in Bihar, India.",2020.0,PLoS medicine,older_adults|male|school,older_adults,male,unspecified,school,other,,unspecified,/Triggers/Risk Factors for Depression:** The abstract suggests that poor school climate; bullying; violence victimization; and violence perpetration are linked to depression and other health outcomes among adolescents. These factors may exacerbate mental health issues and negatively impact overall adolescent well-being.,
32850269,The Role of Interleukin-6 and Inflammatory Cytokines in Pancreatic Cancer-Associated Depression.,2020.0,Cureus,cancer,unspecified,unspecified,cancer,unspecified,other,,unspecified,Triggers; or Risk Factors for Depression/Anxiety:**,
32915660,Social Media Markers to Identify Fathers at Risk of Postpartum Depression: A Machine Learning Approach.,2020.0,"Cyberpsychology, behavior and social networking",children,children,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors:** Low awareness of symptoms; reluctance to seek help; and changes in the use of depressive language post-childbirth are associated with postpartum depression (PPD) in fathers.,reluctance to seek help; and changes in the use of depressive language post-childbirth are associated with postpartum depression (PPD) in fathers.
32915660,Social Media Markers to Identify Fathers at Risk of Postpartum Depression: A Machine Learning Approach.,2020.0,"Cyberpsychology, behavior and social networking",perinatal,perinatal,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors:** Low awareness of symptoms; reluctance to seek help; and changes in the use of depressive language post-childbirth are associated with postpartum depression (PPD) in fathers.,reluctance to seek help; and changes in the use of depressive language post-childbirth are associated with postpartum depression (PPD) in fathers.
32599612,Ashamed and Alone-Risk Factors for Alcohol Craving Among Depressed Emerging Adults.,2020.0,"Alcohol and alcoholism (Oxford, Oxfordshire)",adults,adults,unspecified,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors:** Depression-related drinking in emerging adults is particularly associated with solitary drinking; which is risky and atypical for this age group. The emotional experience of shame mediates the relationship between depression and alcohol craving in solitary contexts. Guilt does not act as a relevant mediator.,
31529992,Associations of depression-anxiety and dyslipidaemia with subclinical carotid arterial disease: Findings from the Whitehall II Study.,2020.0,European journal of preventive cardiology,adults|female,adults,female,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
31529992,Associations of depression-anxiety and dyslipidaemia with subclinical carotid arterial disease: Findings from the Whitehall II Study.,2020.0,European journal of preventive cardiology,adults|male,adults,male,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
31529992,Associations of depression-anxiety and dyslipidaemia with subclinical carotid arterial disease: Findings from the Whitehall II Study.,2020.0,European journal of preventive cardiology,older_adults|female,older_adults,female,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
31529992,Associations of depression-anxiety and dyslipidaemia with subclinical carotid arterial disease: Findings from the Whitehall II Study.,2020.0,European journal of preventive cardiology,older_adults|male,older_adults,male,unspecified,unspecified,other,,unspecified,/Triggers/Risk Factors**:,
31535348,Causal Pathways Between Severe Mental Illness and Behaviors Related to HIV: Patient Perspectives.,2020.0,Community mental health journal,female|comorbid_mental,unspecified,female,comorbid_mental,unspecified,other,,unspecified,triggers; or risk factors:**,in those with unipolar depression.
31535348,Causal Pathways Between Severe Mental Illness and Behaviors Related to HIV: Patient Perspectives.,2020.0,Community mental health journal,male|comorbid_mental,unspecified,male,comorbid_mental,unspecified,other,,unspecified,triggers; or risk factors:**,in those with unipolar depression.
31794908,Convergence of psychiatric symptoms and restless legs syndrome: A cross-sectional study in an elderly French population.,2020.0,Journal of psychosomatic research,older_adults|female,older_adults,female,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Restless legs syndrome (RLS) was associated with generalized anxiety disorder (GAD) and comorbid GAD-depression; but not major depressive disorder (MDD) or dysthymia.,and treatment were briefly evaluated; but the abstract does not indicate interventions for psychiatric disorders.
31794908,Convergence of psychiatric symptoms and restless legs syndrome: A cross-sectional study in an elderly French population.,2020.0,Journal of psychosomatic research,older_adults|male,older_adults,male,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Restless legs syndrome (RLS) was associated with generalized anxiety disorder (GAD) and comorbid GAD-depression; but not major depressive disorder (MDD) or dysthymia.,and treatment were briefly evaluated; but the abstract does not indicate interventions for psychiatric disorders.
31794908,Convergence of psychiatric symptoms and restless legs syndrome: A cross-sectional study in an elderly French population.,2020.0,Journal of psychosomatic research,older_adults,older_adults,unspecified,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Restless legs syndrome (RLS) was associated with generalized anxiety disorder (GAD) and comorbid GAD-depression; but not major depressive disorder (MDD) or dysthymia.,and treatment were briefly evaluated; but the abstract does not indicate interventions for psychiatric disorders.
31794908,Convergence of psychiatric symptoms and restless legs syndrome: A cross-sectional study in an elderly French population.,2020.0,Journal of psychosomatic research,female,unspecified,female,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Restless legs syndrome (RLS) was associated with generalized anxiety disorder (GAD) and comorbid GAD-depression; but not major depressive disorder (MDD) or dysthymia.,and treatment were briefly evaluated; but the abstract does not indicate interventions for psychiatric disorders.
31794908,Convergence of psychiatric symptoms and restless legs syndrome: A cross-sectional study in an elderly French population.,2020.0,Journal of psychosomatic research,male,unspecified,male,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Restless legs syndrome (RLS) was associated with generalized anxiety disorder (GAD) and comorbid GAD-depression; but not major depressive disorder (MDD) or dysthymia.,and treatment were briefly evaluated; but the abstract does not indicate interventions for psychiatric disorders.
31794908,Convergence of psychiatric symptoms and restless legs syndrome: A cross-sectional study in an elderly French population.,2020.0,Journal of psychosomatic research,general,unspecified,unspecified,unspecified,unspecified,psychotherapy,act,unspecified,/Triggers/Risk Factors**: Restless legs syndrome (RLS) was associated with generalized anxiety disorder (GAD) and comorbid GAD-depression; but not major depressive disorder (MDD) or dysthymia.,and treatment were briefly evaluated; but the abstract does not indicate interventions for psychiatric disorders.
33081070,"Recruitment and Baseline Characteristics of Participants in the ""Sanadak"" Trial: A Self-Help App for Syrian Refugees with Post-traumatic Stress.",2020.0,International journal of environmental research and public health,adults|female,adults,female,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,anxiety; resilience; and other measures of psychological distress.
33081070,"Recruitment and Baseline Characteristics of Participants in the ""Sanadak"" Trial: A Self-Help App for Syrian Refugees with Post-traumatic Stress.",2020.0,International journal of environmental research and public health,adults|male,adults,male,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,anxiety; resilience; and other measures of psychological distress.
33081070,"Recruitment and Baseline Characteristics of Participants in the ""Sanadak"" Trial: A Self-Help App for Syrian Refugees with Post-traumatic Stress.",2020.0,International journal of environmental research and public health,older_adults|female,older_adults,female,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,anxiety; resilience; and other measures of psychological distress.
33081070,"Recruitment and Baseline Characteristics of Participants in the ""Sanadak"" Trial: A Self-Help App for Syrian Refugees with Post-traumatic Stress.",2020.0,International journal of environmental research and public health,older_adults|male,older_adults,male,unspecified,unspecified,other,,unspecified,Triggers; or Risk Factors**:,anxiety; resilience; and other measures of psychological distress.
